title,overview,release_date,vote_average,poster_path,id
Speak No Evil,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",2024-09-13,7.348,/fDtkrO2OAF8LKQTdzYmu1Y7lCLB.jpg,1114513
The Substance,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",2024-09-20,7.3,/lqoMzCcZYEFK729d6qzt349fB4o.jpg,933260
Wolfs,"Hired to cover up a high-profile crime, a fixer soon finds his night spiralling out of control when he's forced to work with an unexpected counterpart.",2024-09-20,6.581,/vOX1Zng472PC2KnS0B9nRfM8aaZ.jpg,877817
Joker: Folie à Deux,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",2024-10-04,5.838,/if8QiqCI7WAGImKcJCfzp6VTyKA.jpg,889737
Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",2024-09-06,7.093,/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg,917496
The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",2024-09-27,8.0,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,1184918
Hounds of War,"After a mission goes wrong, only one of a group of mercenaries is left alive to avenge his fallen brothers.",2024-09-20,6.453,/lRBT73EWsiQPuqK3YS3BnBW0Zwi.jpg,949484
Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",2024-09-20,7.369,/qbkAqmmEIZfrCO8ZQAuIuVMlWoV.jpg,698687
Amber Alert,"An ordinary rideshare becomes a high-stakes game of cat and mouse when Jaq and Shane receive an alert of a child abduction on their phones. Quickly realizing they are behind a car that matches the description of the kidnapper’s, Jaq and Shane desperately race against time to save the child’s life.",2024-09-27,5.533,/6pP9HlVFDLqChRiWhN1E7HdJF4I.jpg,1248753
Beezel,"Over six tumultuous decades, three unwitting guests of a cursed New England home stumble upon a sinister secret dwelling beneath its floors - an eternal witch with an insatiable thirst for the souls of the living.",2024-09-20,6.1,/a9gZxhG98LATZJGy1vWssyjVkk.jpg,1291594
Afraid,Curtis Pike and his family are selected to test a new home device: a digital assistant called AIA. AIA observes the family's behaviors and begins to anticipate their needs. And she can – and will – make sure nothing – and no one – gets in her family's way.,2024-08-30,6.297,/gUREuXCnJLVHsvKXDH9fgIcfM6e.jpg,1062215
Gracie & Pedro: Pets to the Rescue,"Family frenemies, Gracie and Pedro, must put their differences aside, embarking on a thrilling quest packed with perilous escapades in order to reunite with their owners.",2024-10-08,7.273,/1agSI7NGvagr720za8XAubtqUoB.jpg,1207830
She Taught Love,"Ever since getting off a prestigious cable television series, Frank Cooper has been coasting through life distracting himself with women, booze and blow, while auditioning to play stereotypical gang members and drug dealers. But the minute he meets Mali Waters, a sports agent living for the present, his whole world changes.",2024-09-27,3.8,/hTcsoaYkQnOj6YSPDpeLv9kpaPm.jpg,1007723
Mean Girls,"Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George.",2004-04-30,7.212,/fXm3YKXAEjx7d2tIWDg9TfRZtsU.jpg,10625
Megalopolis,"Genius artist Cesar Catilina seeks to leap the City of New Rome into a utopian, idealistic future, while his opposition, Mayor Franklyn Cicero, remains committed to a regressive status quo, perpetuating greed, special interests, and partisan warfare. Torn between them is socialite Julia Cicero, the mayor’s daughter, whose love for Cesar has divided her loyalties, forcing her to discover what she truly believes humanity deserves.",2024-09-27,5.274,/8Sok3HNA3r1GHnK2lCytHyBz1A.jpg,592831
The Wasp,"Heather bumps into Carla, having not spoken to her in years, and presents her with a very unexpected proposition that could change both of their lives forever.",2024-08-30,6.182,/cLsQbDGHGaR8R6pBZac8V9Ui130.jpg,1019404
1992,"In 1992, Mercer is desperately trying to rebuild his life and his relationship with his son amidst the turbulent Los Angeles uprising following the Rodney King verdict. Across town, another father and son put their own strained relationship to the test as they plot a dangerous heist to steal catalytic converters, which contain valuable platinum from the factory where Mercer works. As tensions rise and chaos erupts, both families reach their boiling points when their worlds collide.",2024-08-30,5.5,/tPvFmQZM5HMspryyYbrtW02NR0G.jpg,413846
You Gotta Believe,"After dedicating the season to a teammate’s ailing father, a group of underestimated Ft. Worth youth baseball players takes its Cinderella run all the way to the 2002 Little League World Series—culminating in a record-breaking showdown that became an instant ESPN classic.",2024-08-30,6.182,/l4X9SeMFCv414BCt97IBgzYX7JC.jpg,1143508
His Three Daughters,Emotions run high when three estranged sisters reunite in a cramped New York City apartment to watch over their ailing father during his final days.,2024-09-06,7.0,/yTIHBPLQyzhgz1c2spak3btJxsg.jpg,1154762
Slingshot,"An elite trio of astronauts aboard a years-long, possibly compromised mission to Saturn's moon Titan, gears up for a highly dangerous slingshot manoeuvre that will either catapult them to Titan or into deep space.",2024-08-30,6.225,/e6cCBe7DQOn9OFdFJ0eyVwSC8hR.jpg,916728
